Nation,Region,Recognition,Address,Website
Absentee-Shawnee Tribe of Indians of Oklahoma,Southern Plains,Federal,"2025 S. Gordon Cooper Drive, Shawnee, OK74801-9005",http://www.astribe.com
Agdaagux Tribe of King Cove,Alaska,Federal,"PO Box 249, King Cove, AK99612-0249",
Agua Caliente Band of Cahuilla Indians,Pacific,Federal,"5401 Dinah Shore Dr, Palm Springs, CA92264-5970",http://www.aguacaliente.org
Ak-Chin Indian Community,Western,Federal,"42507 W Peters and Nall Road, Maricopa, AZ85138-3940",http://www.ak-chin.nsn.us
Akiachak Native Community (IRA),Alaska,Federal,"PO Box 70, Akiachak, AK99551-0070",
Akiak Native Community (IRA),Alaska,Federal,"PO Box 52127, Akiak, AK99552-0127",
Alabama-Coushatta Tribe of Texas,Southern Plains,Federal,"571 State Park Road 56, Livingston, TX77351-4540",http://www.alabama-coushatta.com
Alabama-Quassarte Tribal Town,Eastern Oklahoma,Federal,"PO Box 187, Wetumka, OK74883-0187",http://www.alabama-quassarte.org
Alatna Village,Alaska,Federal,"PO Box 70, Allakaket, AK99720-0070",
Aleut Community of St. Paul Island,Alaska,Federal,"PO Box 86, Saint Paul Island, AK99660-0086",http://www.apiai.org/tribes/st-paul/
Algaaciq Native Village,Alaska,Federal,"PO Box 48, St. Mary's, AK99658",
Allakaket Village,Alaska,Federal,"PO Box 30, Allakaket, AK99720-0050",
Alturas Rancheria,Pacific,Federal,"PO Box 340, Alturas, CA96101-0340",
Angoon Community Association,Alaska,Federal,"PO Box 328, Angoon, AK99820-0328",
Aniak Traditional Council,Alaska,Federal,"PO Box 349, Aniak, AK99557-0349",
Anvik Traditional Council,Alaska,Federal,"PO Box 10, Anvik, AK99558-0010",http://anviktribalcouncil.com
Apache Tribe of Oklahoma,Southern Plains,Federal,"PO Box 1330, Anadarko, OK73005-1220",http://www.apachetribe.org
Arctic Village,Alaska,Federal,"PO Box 22079, Arctic Village, AK99722",
Aroostook Band of Micmacs,Northeast,Federal,"7 Northern Rd, Presque Isle, ME04769-2027",http://micmac-nsn.gov/
Asa'carsarmiut Tribe,Alaska,Federal,"PO Box 32249, Mountain Village, AK99632-0249",
Atmautluak Traditional Council,Alaska,Federal,"PO Box 6568, Atmautluak, AK99559-6568",
Atqasuk Village,Alaska,Federal,"PO Box 91108, Atqasuk, AK99791-0108",
Augustine Band of Cahuilla Indians,Pacific,Federal,"PO Box 846, Coachella, CA92236-0846",http://www.augustinetribe.org
Bad River Band of the Lake Superior Tribe,Midwest,Federal,"PO Box 39, Odanah, WI54861-0039",http://www.badriver-nsn.gov
Barona Band of Mission Indians,Pacific,Federal,"1095 Barona Rd, Lakeside, CA92040-1541",http://www.baronatribe.org
Battle Mountain Band (Te-Moak Tribe of Western Shoshone Indians of Nevada,Western,Federal,"37 Mountain View Drive, Battle Mountain, NV89820-3611",http://www.temoaktribe.com
Bay Mills Indian Community of Michigan,Midwest,Federal,"12140 W Lakeshore Drive, Brimley, MI49715-9319",http://www.baymills.org
Bear River Band of Rohnerville Rancheria,Pacific,Federal,"266 Keisner Rd, Loleta, CA95551-9646",http://www.brb-nsn.gov
Beaver Village Council,Alaska,Federal,"PO Box 24029, Beaver, AK99724-0029",
Benton Paiute - U-tu Utu Gwaitu Paiute Tribe,Pacific,Federal,"25669 Highway 6, PMB 1, Benton, CA93512-9703",http://www.bentonpaiutereservation.org
Berry Creek Rancheria of Maidu Indians of California,Pacific,Federal,"5 Tyme Way, Oroville, CA95966-9115",
Big Lagoon Rancheria,Pacific,Federal,"PO Box 3060, Trinidad, CA95570-3060",
Big Pine Paiute Tribe of the Owens Valley,Pacific,Federal,"PO Box 700, Big Pine, CA93513-0700",http://www.bigpinepaiute.org
Big Sandy Rancheria,Pacific,Federal,"PO Box 337, Auberry, CA93602-0337",http://www.bigsandyrancheria.com
Big Valley Rancheria,Pacific,Federal,"2726 Mission Rancheria Rd, Lakeport, CA95453-9612",http://www.bvrancheria.com
Birch Creek Tribal Council,Alaska,Federal,"PO Box 71372, Fort Yukon, AK99701",
Bishop Paiute Tribe,Pacific,Federal,"50 N Tu Su Ln, Bishop, CA93514-8058",http://www.bishoppaiutetribe.com
Blackfeet Nation,Rocky Mountain,Federal,"PO Box 850, Browning, MT59417-0850",http://www.blackfeetnation.com
Blue Lake Rancheria,Pacific,Federal,"PO Box 428, Blue Lake, CA95525-0314",http://www.bluelakerancheria-nsn.gov
Bois Forte Band of Chippewa,Midwest,Federal,"15344 Lakeshore Dr., Nett Lake, MN55772-0016",http://www.boisforte.com
Bridgeport Paiute Indian Colony,Pacific,Federal,"PO Box 37, Bridgeport, CA93517-0037",http://www.bridgeportindiancolony.com
Buena Vista Rancheria of Me-Wuk Indians,Pacific,Federal,"1418 20th Street, Suite 200, Sacramento, CA95811-5206",http://bvrmewuk.wixsite.com/me-wuk
